#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 09 10 22 56 999 99.0 99.0  1.98 15.38  9.11 116 9999.0 999.0  17.8 999.0 99.0 99.00
2021 09 10 23 26 999 99.0 99.0  2.14 16.67  9.44 105 9999.0 999.0  17.8 999.0 99.0 99.00
2021 09 10 23 56 999 99.0 99.0  1.99 18.18  8.20 107 9999.0 999.0  17.7 999.0 99.0 99.00
2021 09 11 00 26 999 99.0 99.0  2.08 16.67  8.24 117 9999.0 999.0  17.8 999.0 99.0 99.00
2021 09 11 00 56 999 99.0 99.0  2.17 16.67  7.13 107 9999.0 999.0  17.9 999.0 99.0 99.00
2021 09 11 01 26 999 99.0 99.0  2.16 16.67  7.39 110 9999.0 999.0  17.9 999.0 99.0 99.00
2021 09 11 01 56 999 99.0 99.0  2.09 16.67  8.04  93 9999.0 999.0  17.9 999.0 99.0 99.00
2021 09 11 02 26 999 99.0 99.0  2.05 16.67  8.40 102 9999.0 999.0  17.8 999.0 99.0 99.00
2021 09 11 02 56 999 99.0 99.0  1.97 16.67  7.73 103 9999.0 999.0  17.7 999.0 99.0 99.00
2021 09 11 03 26 999 99.0 99.0  2.05 16.67  8.27 105 9999.0 999.0  17.6 999.0 99.0 99.00
2021 09 11 03 56 999 99.0 99.0  2.05 15.38  8.80 106 9999.0 999.0  17.5 999.0 99.0 99.00
2021 09 11 04 26 999 99.0 99.0  1.94 16.67  8.29 106 9999.0 999.0  17.5 999.0 99.0 99.00
2021 09 11 04 56 999 99.0 99.0  1.98 15.38  8.68 107 9999.0 999.0  17.5 999.0 99.0 99.00
2021 09 11 05 26 999 99.0 99.0  2.01 15.38  8.66 116 9999.0 999.0  17.5 999.0 99.0 99.00
2021 09 11 05 56 999 99.0 99.0  2.05 15.38  8.26 127 9999.0 999.0  17.4 999.0 99.0 99.00
2021 09 11 06 26 999 99.0 99.0  2.23 15.38  8.69 113 9999.0 999.0  17.4 999.0 99.0 99.00
