h,chunk_mean,Hsig,S,A,WavePeriods,WaveHeights,dPddz_W50,,,,dPddt_W50,dPddt_W50N,S_W50,Hoverh,dPddz_WM50,dPddzcrit
0.0088798,'10-Sep-2021 22:59:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.84
0.012525,'10-Sep-2021 23:09:59',NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.37
0.10391,'10-Sep-2021 23:19:59',0.33058,0.73338,0.7187,30.7495,0.28013,2.1041,1.5702,1.2479,1.0757,0.43606,13.4281,0.19207,2.6958,2.1041,
0.25692,'10-Sep-2021 23:29:59',0.39616,0.36778,0.4963,25.8409,0.32309,1.8709,1.6215,1.2648,1.0849,0.46727,8.7868,0.15816,1.2575,1.9621,
0.34509,'10-Sep-2021 23:39:59',0.46378,-0.058296,0.65336,18.5249,0.37551,1.7971,1.6069,1.2601,1.0916,0.55422,7.6372,0.166,1.0882,1.8337,
0.46535,'10-Sep-2021 23:49:59',0.4868,0.17081,0.89032,16.5574,0.38083,1.5736,1.4388,1.2611,1.0918,0.58683,8.4766,0.15993,0.81837,1.6134,
0.60675,'11-Sep-2021 00:00:00',0.57988,0.34462,0.31692,15.2276,0.45534,1.7564,1.6282,1.3007,1.1235,0.6572,7.1778,0.15121,0.75045,1.836,
0.72132,'11-Sep-2021 00:09:59',0.59704,0.20338,0.94913,15.6785,0.51083,1.7183,1.4346,1.277,1.1873,0.77818,7.7811,0.16506,0.70819,1.727,
0.8244,'11-Sep-2021 00:20:00',0.64428,0.33152,1.0068,14.9191,0.51426,1.7105,1.3555,1.3052,1.1895,0.78894,7.4066,0.16008,0.6238,1.7169,
0.94215,'11-Sep-2021 00:29:59',0.63182,0.3118,0.98697,15.6263,0.54062,1.7313,1.4073,1.3112,1.2265,0.79507,7.3745,0.15128,0.57382,1.8147,
1.0513,'11-Sep-2021 00:39:59',0.65608,0.47515,1.0328,14.437,0.56818,1.7625,1.2579,1.2467,1.113,0.81574,6.4101,0.14818,0.54046,1.7927,
1.1247,'11-Sep-2021 00:49:59',0.7709,0.50629,1.1716,15.4178,0.64305,1.8823,1.4336,1.2711,1.1153,0.93976,6.8859,0.16509,0.57173,1.9348,
1.2254,'11-Sep-2021 00:59:59',0.82488,0.55788,1.1852,14.6283,0.64326,1.8518,1.435,1.2135,1.0884,0.79501,5.5867,0.13853,0.52495,1.8987,
1.3281,'11-Sep-2021 01:10:00',0.82981,0.7888,1.2278,13.9356,0.70865,1.9079,1.6213,1.2016,1.0943,1.0038,6.0111,0.16419,0.5336,1.923,
1.4169,'11-Sep-2021 01:19:59',0.89127,0.79367,1.2695,14.4622,0.76203,1.9382,1.4447,1.2072,1.095,1.0175,6.2413,0.16099,0.53782,1.9382,
