dt2,Pd2,,,,,,,,Pd_hydro2,,,,,,,,sensorselev,,,,,,,,dtSliceW1,dtSlice_indexW1,dtSliceW2,dtSlice_indexW2,dtSliceW3,dtSlice_indexW3,dtSliceW4,dtSlice_indexW4,dPddz2,,,,,,,dPddt2,Pe,,,,,,,,dPddzcrit
'11/09/2021 02:33:00.04',1.3385,1.4559,1.4739,1.5387,1.5689,1.7159,1.871,2.014,1.3097,1.4097,1.4727,1.5352,1.5977,1.6977,1.8507,2.0037,22.9,12.9,6.6,0.35,-5.9,-15.9,-31.2,-46.5,'11/09/2021 02:33:01.97',35,'11/09/2021 02:33:35.79',633,'11/09/2021 02:33:51.29',907,'11/09/2021 02:34:26.93',1537,1.2753,-0.029235,1.6863,0.53455,1.1619,1.0479,1.0238,-0.10164,0.028841526,0.046241496,0.001171088,0.0035,-0.02874663,0.01820609,0.020278958,0.010296429,1.84
'11/09/2021 02:33:00.10',1.3379,1.4501,1.4737,1.5368,1.5623,1.7132,1.8681,2.0101,1.3078,1.4078,1.4708,1.5333,1.5958,1.6958,1.8488,2.0018,,,,,,,,,'11/09/2021 02:33:02.93',52,'11/09/2021 02:33:36.76',650,'11/09/2021 02:33:52.65',931,'11/09/2021 02:34:28.29',1561,1.2226,0.061464,1.6592,0.45817,1.2017,1.0466,1.0173,-0.12978,0.030134383,0.042263475,0.002861747,0.0035,-0.033520255,0.017410486,0.019284452,0.008307419,2.37
'11/09/2021 02:33:00.16',1.3356,1.4503,1.4677,1.5272,1.5585,1.7081,1.8631,2.0063,1.2982,1.3982,1.4612,1.5237,1.5862,1.6862,1.8392,1.9922,,,,,,,,,'11/09/2021 02:33:03.49',62,'11/09/2021 02:33:37.10',656,'11/09/2021 02:33:52.94',936,'11/09/2021 02:34:28.86',1571,1.2474,-0.037191,1.6019,0.55046,1.1887,1.0472,1.0251,-0.12583,0.037394272,0.052009627,0.006441966,0.0035,-0.027752124,0.02188576,0.023859177,0.01407555,
'11/09/2021 02:33:00.21',1.3349,1.4485,1.4563,1.518,1.5578,1.708,1.8606,2.0031,1.289,1.389,1.452,1.5145,1.577,1.677,1.83,1.983,,,,,,,,,'11/09/2021 02:33:03.72',66,'11/09/2021 02:33:37.38',661,'11/09/2021 02:33:53.44',945,'11/09/2021 02:34:29.03',1574,1.2365,-0.18995,1.6354,0.68731,1.1947,1.0317,1.0205,-0.092294,0.045947018,0.059468417,0.004353505,0.0035,-0.019199378,0.031035209,0.030621814,0.020142032,
'11/09/2021 02:33:00.27',1.331,1.4434,1.4668,1.5231,1.5601,1.7038,1.8571,2.0005,1.2941,1.3941,1.4571,1.5196,1.5821,1.6821,1.8351,1.9881,,,,,,,,,'11/09/2021 02:33:04.74',84,'11/09/2021 02:33:37.77',668,'11/09/2021 02:33:54.01',955,'11/09/2021 02:34:29.70',1586,1.2256,0.058282,1.5494,0.64275,1.1291,1.0369,1.0257,-0.044999,0.036897019,0.049324463,0.009723834,0.0035,-0.021983993,0.021686859,0.022069067,0.01238489,
'11/09/2021 02:33:00.33',1.3318,1.439,1.4665,1.5152,1.5589,1.7013,1.855,1.9972,1.2862,1.3862,1.4492,1.5117,1.5742,1.6742,1.8272,1.9802,,,,,,,,,'11/09/2021 02:33:06.38',113,'11/09/2021 02:33:38.74',685,'11/09/2021 02:33:55.65',984,'11/09/2021 02:34:32.59',1637,1.1738,0.12352,1.4285,0.74937,1.1161,1.0394,1.0179,-0.0049663,0.045549216,0.052805231,0.017282074,0.0035,-0.015320807,0.027057188,0.027837199,0.016959615,
'11/09/2021 02:33:00.38',1.3258,1.4395,1.4642,1.5182,1.553,1.6968,1.8506,1.9939,1.2892,1.3892,1.4522,1.5147,1.5772,1.6772,1.8302,1.9832,,,,,,,,,,,,,,,,,1.2385,0.078968,1.5128,0.60775,1.1301,1.0394,1.0257,0.011332,0.036598667,0.050318968,0.012011196,0.0035,-0.024171905,0.019598398,0.020378408,0.010694231,
'11/09/2021 02:33:00.44',1.3267,1.4293,1.467,1.5139,1.5516,1.6996,1.8488,1.9919,1.2849,1.3849,1.4479,1.5104,1.5729,1.6729,1.8259,1.9789,,,,,,,,,,,,,,,,,1.1271,0.28742,1.3999,0.65389,1.1718,1.0096,1.0247,-0.0011255,0.041770095,0.044351936,0.019072184,0.0035,-0.02128784,0.026659386,0.022864672,0.013031319,
'11/09/2021 02:33:00.49',1.3225,1.4202,1.4642,1.511,1.5468,1.6998,1.8472,1.99,1.282,1.382,1.445,1.5075,1.57,1.67,1.823,1.976,,,,,,,,,,,,,,,,,1.0784,0.38766,1.3983,0.62207,1.2226,0.9979,1.0225,-0.034698,0.040477238,0.038186003,0.019171635,0.0035,-0.02327685,0.029742352,0.024157529,0.013976099,
'11/09/2021 02:33:00.55',1.3158,1.4228,1.4565,1.5123,1.5485,1.6963,1.8458,1.9877,1.2833,1.3833,1.4463,1.5088,1.5713,1.6713,1.8243,1.9773,,,,,,,,,,,,,,,,,1.1709,0.22377,1.5415,0.63003,1.1698,1.0115,1.0166,-0.073651,0.032521196,0.03947886,0.010221086,0.0035,-0.022779598,0.024968726,0.021472364,0.01039588,
