dPddzcrit,WaveHeightsWbW,WavePeriodsWbW,HoverhWbW,dPddt_W,dPddz_WM,dPddz_W,,,,,,,S_W,hW,PercentLiq_Hh,,,,,PercentLiq_S,,,,dPddt_WO,dPddt_WN,dPddt_WON,S_WO
1.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44085,8.5752,14.4109,13.0734,32.716,0.69324,10.2663,23.6256,33.3333,NaN,NaN,NaN,NaN
2.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2939,10.8839,17.1373,17.4312,31.4815,1.2132,13.9467,22.2883,39.3939,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.59367,2.0448,1.1468,0,0,0.67797,2.9718,3.0303,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.32982,1.1685,0.45872,0,0,0.38741,1.4859,3.0303,NaN,NaN,NaN,NaN
,0.18655,10.2447,1.1538,0.22655,2.9853,1.6877,2.2079,1.8672,1.1886,2.9853,0.16642,1.0662,0.14951,0.16168,,,,,,,,,,0.057206,3.9602,1,0.027534
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,0.17607,19.3008,1.5768,0.32143,2.5955,0.92489,1.6765,2.5403,1.8251,2.5955,0.182,1.0669,0.20767,0.11166,,,,,,,,,,0.028658,11.2158,1,0.016598
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,0.21244,11.3767,2.0035,0.37645,3.1385,1.4371,2.5103,2.4941,0.99611,3.1385,0.19174,1.0721,0.24343,0.10603,,,,,,,,,,0.058663,6.4172,1,0.034865
,0.17184,96.787,1.7057,0.29917,2.8461,1.0482,1.9693,3.6987,1.9636,2.8461,0.23198,1.0692,0.17937,0.10074,,,,,,,,,,0.0055776,53.638,1,0.0034008
,0.24001,39.3374,1.9125,0.38586,2.9436,1.454,2.243,3.9453,1.9524,2.9436,0.12293,1.0799,0.21517,0.12549,,,,,,,,,,0.019168,20.1305,1,0.010472
,0.24369,50.7141,2.3418,0.47667,3.4527,1.4888,2.5532,2.911,1.8936,3.4527,0.17681,1.0753,0.28642,0.10406,,,,,,,,,,0.015096,31.5757,1,0.0090565
,0.25857,111.2767,2.2093,0.41474,2.7456,1.4599,2.0122,2.9428,2.363,2.7456,0.35013,1.0899,0.21899,0.11704,,,,,,,,,,0.0073,56.8138,1,0.0041296
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,0.2839,16.6406,1.9548,0.48705,3.052,2.1869,2.8285,2.1472,1.5578,3.052,0.43971,1.0896,0.27144,0.14523,,,,,,,,,,0.053597,9.0873,1,0.027218
,0.26882,52.6385,2.0907,0.48229,2.7639,1.9094,2.4562,3.3199,2.7639,2.7148,0.45724,1.1006,0.24981,0.12858,,,,,,,,,,0.016044,30.0605,1,0.008659
,0.31839,21.7346,1.7522,0.31909,2.8908,1.9622,3.247,2.6516,1.5308,2.8908,0.46114,1.0922,0.14207,0.1817,,,,,,,,,,0.04602,6.9337,1,0.020894
,0.21964,14.6029,0.9439,0.32971,2.4493,2.0924,2.0281,2.1997,1.125,2.4493,0.43777,1.0721,0.15543,0.23269,,,,,,,,,,0.047252,6.9777,1,0.018957
,0.25934,37.2998,2.0268,0.498,2.7138,1.3297,1.8452,3.5411,2.3948,2.7138,0.52281,1.0825,0.23805,0.12796,,,,,,,,,,0.021843,22.7989,1,0.011818
,0.38555,44.4314,2.9761,0.59449,3.0102,2.3699,2.9988,3.9676,2.931,3.0102,0.53644,1.0961,0.34972,0.12955,,,,,,,,,,0.027261,21.8078,1,0.014658
,0.31917,46.2427,2.7252,0.39449,2.6024,1.628,2.566,4.1283,2.4759,2.6024,0.5689,1.0902,0.23699,0.11712,,,,,,,,,,0.021684,18.1927,1,0.012262
,0.22212,39.677,1.9372,0.3196,2.5816,1.3436,2.4339,3.355,1.3955,2.5816,0.55397,1.0769,0.16613,0.11466,,,,,,,,,,0.017588,18.172,1,0.010052
,0.25031,12.0559,1.1261,0.54163,2.4652,2.348,2.6487,5.1164,2.032,2.4652,0.5293,1.0821,0.2486,0.22227,,,,,,,,,,0.065228,8.3036,1,0.026775
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,NaN,NaN,NaN
,0.21222,12.9049,0.77982,0.42731,3.4354,2.0328,2.6105,4.5754,3.4354,2.8799,0.45529,1.0344,0.1972,0.27214,,,,,,,,,,0.051663,8.2712,1,0.019166
,0.32511,55.3554,2.0332,0.57261,2.8312,2.2446,2.5787,5.5301,2.7655,2.8312,0.57409,1.087,0.26475,0.1599,,,,,,,,,,0.018451,31.034,1,0.0089297
,0.22561,11.6597,1.1542,0.27991,2.5139,2.1849,2.8842,1.8894,1.0104,2.5139,0.47866,1.0552,0.12256,0.19546,,,,,,,,,,0.060788,4.6046,1,0.026609
,0.31678,27.2815,1.6187,0.43023,2.3598,2.1929,2.1873,4.0392,1.6374,2.3598,0.64095,1.0928,0.19195,0.1957,,,,,,,,,,0.036479,11.794,1,0.015959
,0.29741,31.3567,1.4434,0.43662,2.677,2.0765,2.593,2.2904,1.1489,2.677,0.66237,1.0928,0.18171,0.20605,,,,,,,,,,0.029797,14.6532,1,0.012704
,0.28183,16.9802,1.2661,0.29922,2.4562,2.2685,2.5946,1.9563,1.1536,2.4562,0.6799,1.0825,0.13504,0.22259,,,,,,,,,,0.052144,5.7384,1,0.021389
,0.23915,64.2983,1.9407,0.44207,2.5855,1.5952,2.4546,3.5618,1.5849,2.5855,0.69808,1.0812,0.218,0.12322,,,,,,,,,,0.011685,37.8333,1,0.0064419
,0.22301,22.3006,1.1325,0.37294,2.3757,1.5305,2.1236,1.8974,1.1282,2.3757,0.65069,1.0818,0.17656,0.19691,,,,,,,,,,0.031416,11.871,1,0.013701
,0.24141,21.3384,1.1775,0.38033,2.2613,1.7354,2.7139,2.6341,1.2237,2.2613,0.69678,1.0838,0.16959,0.20501,,,,,,,,,,0.035542,10.7009,1,0.015191
,0.27701,16.301,1.6166,0.33313,2.5467,1.2968,2.4291,3.2356,1.5626,2.5467,0.68834,1.1026,0.14371,0.17136,,,,,,,,,,0.053386,6.2401,1,0.024959
,0.31584,20.0932,1.3921,0.62867,2.1012,2.0328,2.0854,2.4305,1.16,2.1012,0.84349,1.0948,0.26758,0.22687,,,,,,,,,,0.049382,12.7307,1,0.020064
,0.29294,12.5087,1.2197,0.28306,2.2484,1.9482,2.1141,2.0374,1.1059,2.2484,0.7578,1.074,0.12455,0.24016,,,,,,,,,,0.073572,3.8475,1,0.029054
,0.30114,44.1484,1.7262,0.40154,2.8411,2.2884,2.5055,5.9391,2.024,2.8411,0.99214,1.0919,0.17674,0.17445,,,,,,,,,,0.021429,18.738,1,0.0099292
,0.35702,17.9424,0.95874,0.44511,2.0304,2.9766,2.3527,4.8777,2.0304,1.8615,0.96683,1.0896,0.15725,0.37238,,,,,,,,,,0.062511,7.1205,1,0.019825
,0.30087,13.6973,0.82532,0.57482,1.9202,1.7046,2.1538,1.8433,1.1457,1.9202,1.0181,1.0877,0.20135,0.36456,,,,,,,,,,0.069008,8.3297,1,0.022119
